path	lines	tokens
.agents/agents/Default.agent.md	9	135
.agents/agents/audit.agent.md	47	705
.agents/agents/commit.agent.md	79	1185
.agents/agents/explore.agent.md	31	465
.agents/agents/handoff.agent.md	63	945
.agents/agents/implement.agent.md	66	990
.agents/agents/interview.agent.md	135	2025
.agents/agents/iteration.agent.md	103	1545
.agents/agents/orchestrator.agent.md	143	2145
.agents/agents/research.agent.md	47	705
.agents/agents/review.agent.md	107	1605
.agents/agents/roast.agent.md	57	855
.agents/agents/simplify.agent.md	93	1395
.agents/agents/spec.agent.md	58	870
.agents/agents/testing.agent.md	52	780
.agents/agents/ticket-refinement.agent.md	85	1275
.agents/agents/transcription.agent.md	67	1005
.agents/instructions/INDEX.md	56	840
.agents/instructions/README.md	91	1365
.agents/instructions/audit/audit.instructions.md	127	1905
.agents/instructions/commit/generated-files.instructions.md	30	450
.agents/instructions/commit/message-conventions.instructions.md	21	315
.agents/instructions/commit/pre-commit.instructions.md	29	435
.agents/instructions/commit/submodule.instructions.md	27	405
.agents/instructions/commit/workflow.instructions.md	20	300
.agents/instructions/engine/context-http.instructions.md	45	675
.agents/instructions/engine/core-crates.instructions.md	38	570
.agents/instructions/frontend/frontend.instructions.md	46	690
.agents/instructions/frontend/viewer-api-tools.instructions.md	88	1320
.agents/instructions/orchestration/compact-output.instructions.md	27	405
.agents/instructions/orchestration/differential-patching.instructions.md	12	180
.agents/instructions/orchestration/entity-disambiguation.instructions.md	31	465
.agents/instructions/orchestration/escalation-gate.instructions.md	39	585
.agents/instructions/orchestration/fallback-escalation.instructions.md	10	150
.agents/instructions/orchestration/file-inspection.instructions.md	78	1170
.agents/instructions/orchestration/loop-closure.instructions.md	34	510
.agents/instructions/orchestration/model-prices.instructions.md	150	2250
.agents/instructions/orchestration/model-routing.instructions.md	182	2730
.agents/instructions/orchestration/orchestrator-delegation.instructions.md	155	2325
.agents/instructions/orchestration/phase-separation.instructions.md	51	765
.agents/instructions/orchestration/pre-dispatch-gates.instructions.md	168	2520
.agents/instructions/orchestration/preflight-validation.instructions.md	19	285
.agents/instructions/orchestration/question-quality.instructions.md	73	1095
.agents/instructions/orchestration/retry-limit.instructions.md	43	645
.agents/instructions/orchestration/routine-actions.instructions.md	18	270
.agents/instructions/orchestration/session-artifacts.instructions.md	14	210
.agents/instructions/orchestration/shared-context-bundle.instructions.md	202	3030
.agents/instructions/orchestration/tool-output.instructions.md	79	1185
.agents/instructions/orchestration/write-and-die.instructions.md	28	420
.agents/instructions/session/session-bootstrap.instructions.md	12	180
.agents/instructions/session/session-optimization.instructions.md	87	1305
.agents/instructions/session/session-workflow.instructions.md	111	1665
.agents/instructions/spec/spec-system.instructions.md	93	1395
.agents/instructions/testing/assertions.instructions.md	9	135
.agents/instructions/testing/benchmarks.instructions.md	21	315
.agents/instructions/testing/data-capture-verification.instructions.md	35	525
.agents/instructions/testing/http-stress.instructions.md	31	465
.agents/instructions/testing/split-responsibility-testing.instructions.md	25	375
.agents/instructions/testing/test-debugging.instructions.md	22	330
.agents/instructions/testing/test-execution.instructions.md	48	720
.agents/instructions/testing/validation-evidence.instructions.md	53	795
.agents/instructions/ticket/board.instructions.md	74	1110
.agents/instructions/ticket/engine.instructions.md	48	720
.agents/instructions/ticket/lifecycle.instructions.md	207	3105
.agents/instructions/ticket/workflow.instructions.md	307	4605
.agents/instructions/transcripts/audio-transcript.instructions.md	103	1545
.agents/prompts/audit.prompt.md	31	465
.agents/prompts/build-validate-tools.prompt.md	230	3450
.agents/prompts/commit.prompt.md	37	555
.agents/prompts/debug-test.prompt.md	40	600
.agents/prompts/handoff-tickets.prompt.md	60	900
.agents/prompts/handoff.prompt.md	72	1080
.agents/prompts/implement.prompt.md	14	210
.agents/prompts/interview.prompt.md	37	555
.agents/prompts/iteration.prompt.md	95	1425
.agents/prompts/memory-setup.prompt.md	44	660
.agents/prompts/next.prompt.md	30	450
.agents/prompts/research.prompt.md	41	615
.agents/prompts/reviews.prompt.md	87	1305
.agents/prompts/rule-target.prompt.md	36	540
.agents/prompts/rule.prompt.md	35	525
.agents/prompts/spec.prompt.md	33	495
.agents/prompts/sync-model-prices.prompt.md	49	735
.agents/prompts/tdd.prompt.md	32	480
.agents/prompts/ticket-next.prompt.md	36	540
.agents/prompts/ticket.prompt.md	42	630
.agents/prompts/tickets.prompt.md	42	630
.agents/prompts/tool-grant-regression-probe.prompt.md	61	915
.agents/prompts/transform-transcript.prompt.md	47	705
.agents/prompts/user-training.prompt.md	35	525
.clinerules/00-source-of-truth.md	15	225
.clinerules/10-core-rules.md	121	1815
.clinerules/20-workflows.md	12	180
.clinerules/30-path-scoped.md	21	315
.clinerules/hooks/hooks.json	39	585
.clinerules/hooks/session-capture-stop.sh	31	465
.clinerules/hooks/terminal-pwd.sh	27	405
.clinerules/hooks/validate-docs-stop.sh	62	930
.clinerules/hooks/validate-docs.sh	48	720
.github/copilot-instructions.md	54	810
.github/hooks/hooks.json	60	900
.github/hooks/rtk-rewrite.json	22	330
AGENTS.md	160	2400
